Ime.i.prezime,Tijelo.javne.vlasti,Izvor.informacija,Godina,Datum.putovanja.polazak,Datum.putovanja.povratak,Odrediste,Broj.osoba.u.pratnji,Koristen.Vladin.zrakoplov,Iznos.putnih.troskova.po.sluzbenom.putovanju.u.kn,Iznos.troskova.smjestaja.po.sluzbenom.putovanju.u.kn,Iznos.troskova.reprezentacije.u.kn,Ukupni.troskovi.u.kn,Prosjek.troska.u.kn.po.osobi
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Beč, Austrija",3,ne,9825.7,2126.32,1332,13284.02,3321.005
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Mađarska,4,ne,125,0,,125,25
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",4,ne,5549,800,,6349,1269.8
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Slovenija,6,ne,869.14,244.6,,1113.74,159.1057143
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Luxembourg, Luxembourg",3,ne,8969.88,2150.62,,11120.5,2780.125
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Rim, Italija",4,ne,16820.89,9221.1,,26041.99,5208.398
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Borovo, Hrvatska",2,ne,644,0,419,1063,354.3333333
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",2,ne,6047.08,1517.97,,7565.05,2521.683333
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Bosna i Hercegovina,3,ne,232.61,0,,232.61,58.1525
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Luxembourg, Luxembourg",2,ne,8772.46,370,,9142.46,3047.486667
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Slovačka,6,ne,2368.52,1466.33,140.9,3975.75,567.9642857
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Austrija,2,ne,332.37,0,,332.37,110.79
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Sofia, Bugarska",3,ne,7420.02,0,,7420.02,1855.005
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Luxembourg, Luxembourg",2,ne,12678.37,3820,1170.25,17668.62,5889.54
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Prag, Češka",4,ne,6051.9,281.68,,6333.58,1266.716
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",2,ne,6927.74,443,,7370.74,2456.913333
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Warsava, Poljska",3,ne,3048.82,316.6,,3365.42,841.355
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",2,ne,6721.45,1523.97,,8245.42,2748.473333
Anka Mrak-Taritaš,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_mrak_taritas_m,2012,2012-11-16,2012-11-17,"Cavtat, Hrvatska",1,ne,2631.66,1053.3,0,3684.96,1842.48
Anka Mrak-Taritaš,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_mrak_taritas_m,2012,2012-11-18,2012-11-18,"Vukovar, Hrvatska",1,ne,300,0,0,300,150
Anka Mrak-Taritaš,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_mrak_taritas_m,2012,2012-11-28,2012-11-28,"Sisak, Hrvatska",2,ne,450,0,0,450,150
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-16,2016-11-16,Belgija,0,ne,6846.92,0,430.92,7277.84,7277.84
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-10-22,2016-10-22,"Karlovac, Hrvatska",1,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-10-24,2016-10-24,"Belišće, Hrvatska",1,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-10-27,2016-10-27,"Bol, Hrvatska",2,ne,225,0,,225,75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-04,2016-11-04,"Vukovar, Hrvatska",3,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-10,2016-11-10,"Vukovar, Hrvatska",3,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-15,2016-11-15,"Šibenik, Hrvatska",2,ne,1933.5,0,1783.5,3717,1239
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-17,2016-11-18,"Vukovar, Hrvatska",2,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-25,2016-11-27,"Mali Lošinj, Hrvatska",3,ne,689,,314,1003,250.75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-28,2016-11-29,"Split, Hrvatska",2,ne,757,607,,1364,454.6666667
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-12-06,2016-12-06,"Lipik, Hrvatska",2,ne,150,0,,150,50
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-12-12,2016-12-12,"Pula, Hrvatska",1,ne,340,0,190,530,265
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-12-14,2016-12-15,"Dubrovnik, Hrvatska",2,ne,280,,130,410,136.6666667
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-12-20,2016-12-20,"Knin, Hrvatska",2,ne,150,0,,150,50
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-01-19,2017-01-19,"Osijek, Hrvatska",1,ne,150,0,,150,75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-01-27,2017-01-27,"Sisak, Hrvatska",1,ne,150,0,,150,75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-02-02,2017-02-02,"Vukovar, Hrvatska",1,ne,150,0,,150,75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-02-07,2017-02-07,"Karlovac, Hrvatska",1,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-02-10,2017-02-10,"Zadar, Hrvatska",1,ne,150,0,,150,75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-02-23,2017-02-23,"Sisak, Hrvatska",1,ne,75,0,,75,37.5
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-02-27,2017-02-28,"Vukovar, Hrvatska",1,ne,150,0,,150,75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-03-17,2017-03-17,"Pakrac, Hrvatska",1,ne,170,0,,170,85
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-03-23,2017-03-26,"Split, Hrvatska",2,ne,1874.5,1364.5,,3239,1079.666667
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-04-04,2017-04-04,"Dubrovnik, Hrvatska",0,ne,853.75,0,,853.75,853.75
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-11,2017-05-12,"Dubrovnik, Hrvatska",0,ne,2605.21,1236.46,,3841.67,3841.67
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-04,2017-05-04,"Knin, Hrvatska",2,ne,340,0,,340,113.3333333
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-15,2017-05-15,"Otok, Hrvatska",1,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-19,2017-05-21,"Opatija, Hrvatska",1,ne,780,0,440,1220,610
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-24,2017-05-25,"Osijek, Hrvatska",0,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-05-30,2017-05-31,Brodsko-posavska županija,0,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-06-01,2017-06-02,Vinkovci,2,ne,0,0,,0,0
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-06-29,2017-07-03,"Split, Vis",1,ne,1960,1365,,3325,1662.5
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-07-03,2017-07-05,Požega,2,ne,170,0,,170,56.66666667
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-08-04,2017-08-07,Knin,1,ne,1191,596,,1787,893.5
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-08-02,2017-08-02,Krasno,2,ne,85,0,,85,28.33333333
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-08-31,2017-08-31,Pleternica,1,ne,170,0,,170,85
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-01-23,2017-01-25,Belgija,0,ne,17680.04,3283.35,13335.49,34298.88,34298.88
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-03-01,2017-03-03,Poljska,0,ne,3541.6,3390,,6931.6,6931.6
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-04-24,2017-04-25,Luksemburg,0,ne,5657.7,3186,,8843.7,8843.7
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-06-07,2017-06-09,"Belgija, Malta",0,ne,9749.95,5872,361.39,15983.34,15983.34
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-06-14,2017-06-15,Poljska,0,ne,4406.94,3195,,7601.94,7601.94
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-06-26,2017-06-27,Belgija,0,ne,3598.7,2555,,6153.7,6153.7
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-07-06,2017-07-07,Sarajevo,0,da,819.65,0,,819.65,819.65
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2017,2017-07-09,2017-07-12,Crna Gora,0,ne,1118.87,640.37,,1759.24,1759.24
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-09-29,2016-09-30,Šibenik,2,ne,1036,1365,1690,4091,1363.666667
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-09-21,2016-09-22,Poreč,2,ne,450,2967,,3417,1139
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-09-17,2016-09-18,Osijek,4,ne,1125,3825,,4950,990
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-09-15,2016-09-16,Pula,2,ne,900,3772.5,,4672.5,1557.5
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-08-04,2016-08-08,Knin,1,ne,1452,5166.67,1025.5,7644.17,3822.085
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-05-30,2016-05-31,Bruxelles,1,ne,11486.6,2418.6,478.48,14383.68,7191.84
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-05-04,2016-05-06,Mostar,3,ne,2591.04,1446.18,,4037.22,1009.305
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-04-15,2016-04-15,Vukovar,1,ne,300,0,,300,150
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-03-31,2016-04-01,Šibenik,1,ne,600,690,,1290,645
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-03-23,2016-03-23,Osijek,2,ne,450,0,440,890,296.6666667
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-03-08,2016-03-09,Vukovar,2,ne,675,1491,,2166,722
Predrag Šustar,Ministarstvo znanosti i obrazovanja,http://imamopravoznati.org/request/putni_troskovi_za_sustara_minist,2016,2016-02-29,2016-03-01,Split,2,ne,450,1427.57,,1877.57,625.8566667
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2011,,,,,,,,,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-01-21,2012-01-21,Zadar,2,ne,510,0,0,510,170
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-02-28,2012-02-28,Đakovo,2,ne,510,0,0,510,170
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-03-15,2012-03-15,Petrinja,2,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-03-24,2012-03-24,Sinj,2,ne,340,0,0,340,113.3333333
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-03-27,2012-03-27,Vukovar,3,ne,510,0,0,510,127.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-03-31,2012-03-31,Plitvice,2,ne,340,0,0,340,113.3333333
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-04-03,2012-04-03,Vukovar,2,ne,340,0,0,340,113.3333333
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-04-28,2012-04-28,Split,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-05-01,2012-05-01,Okučani,1,ne,85,0,0,85,42.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-05-02,2012-05-02,Vukovar,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-05-07,2012-05-07,Koprivnica,1,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-05-11,2012-05-11,Vukovar,2,ne,340,0,0,340,113.3333333
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-05-22,2012-05-22,Zadar,1,ne,340,0,0,340,170
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-05-23,2012-05-23,Sisak,2,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-06-05,2012-06-05,Vukovar,2,ne,170,0,0,170,56.66666667
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-06-08,2012-06-09,Split,3,ne,574,3876,0,4450,1112.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-06-14,2012-06-14,Split,2,ne,340,0,0,340,113.3333333
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-06-21,2012-06-21,Miljevci,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-06-26,2012-06-26,Vukovar,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-06-22,2012-06-22,Sisak,1,ne,85,0,0,85,42.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-06-26,2012-06-26,Osijek,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-07-07,2012-07-07,Ruščica,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-07-08,2012-07-08,Vukovar,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-07-20,2012-07-22,Pula,1,ne,340,1005,0,1345,672.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-07-24,2012-07-24,Obrovac,2,ne,340,0,0,340,113.3333333
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-07-27,2012-07-27,Knin,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-07-29,2012-07-29,Erdut,1,ne,170,0,0,170,85
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-08-01,2012-08-01,Dalj,3,ne,510,0,0,510,127.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-08-04,2012-08-05,Knin,1,ne,470,805,0,1275,637.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-08-14,2012-08-14,Vukovar,1,ne,150,0,0,150,75
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-08-22,2012-08-22,Vukovar,2,ne,300,0,0,300,100
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-08-28,2012-08-28,Savudrija,2,ne,300,0,0,300,100
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-08-30,2012-08-30,Vinkovci,2,ne,150,0,0,150,50
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-08-31,2012-08-31,Varaždinske Toplice,2,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-09-16,2012-09-16,Petrinja,2,ne,150,0,0,150,50
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-09-19,2012-09-19,Trogir,3,ne,225,0,0,225,56.25
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-09-21,2012-09-21,Požega,3,ne,450,0,0,450,112.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-09-23,2012-09-23,Vukovar,1,ne,150,0,0,150,75
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-09-24,2012-09-24,Vukovar,3,ne,450,0,0,450,112.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-09-29,2012-09-29,Bjelovar,2,ne,300,0,0,300,100
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-10-11,2012-10-11,Virovitica,2,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-10-12,2012-10-12,Split,2,ne,300,0,0,300,100
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-10-16,2012-10-16,Vukovar,3,ne,225,0,0,225,56.25
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-10-19,2012-10-19,Požega,1,ne,75,0,0,75,37.5
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-10-24,2012-10-24,Rab,2,ne,300,0,0,300,100
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-10-26,2012-10-26,Vukovar,1,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-10-29,2012-10-29,Novska,2,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-11-02,2012-11-02,Čaglin,2,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-11-08,2012-11-08,Draganički Mrzljaci,2,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-11-09,2012-11-09,Požega,2,ne,300,0,0,300,100
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-11-17,2012-11-18,Vukovar,2,ne,300,2108,0,2408,802.6666667
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-11-22,2012-11-22,Varaždin,1,ne,0,0,0,0,0
Predrag Matić,Ministarstvo hrvatskih branitelja,http://imamopravoznati.org/request/putni_troskovi_za_matica_ministr_2,2012,2012-11-28,2012-11-28,Gračac,1,ne,150,0,0,150,75
